"sci_name","common_name","phylo_sci_name","family_latin","family_english","order"
"Acanthis flammea","Common Redpoll","Carduelis flammea","Fringillidae","Finches and Hawaiian honeycreepers","PASSERIFORMES"
"Agelaius phoeniceus","Red-winged Blackbird","Agelaius phoeniceus","Icteridae","New World blackbirds","PASSERIFORMES"
"Ammodramus savannarum","Grasshopper Sparrow","Ammodramus savannarum","Emberizidae","Buntings, American sparrows and allies","PASSERIFORMES"
"Baeolophus bicolor","Tufted Titmouse","Baeolophus bicolor","Paridae","Tits and chickadees","PASSERIFORMES"
"Bombycilla cedrorum","Cedar Waxwing","Bombycilla cedrorum","Bombycillidae","Waxwings","PASSERIFORMES"
"Cardellina canadensis","Canada Warbler","Wilsonia canadensis","Parulidae","New World warblers","PASSERIFORMES"
"Cardellina pusilla","Wilson's Warbler","Wilsonia pusilla","Parulidae","New World warblers","PASSERIFORMES"
"Cardinalis cardinalis","Northern Cardinal","Cardinalis cardinalis","Cardinalidae","Grosbeaks, saltators and allies","PASSERIFORMES"
"Catharus fuscescens","Veery","Catharus fuscescens","Turdidae","Thrushes","PASSERIFORMES"
"Catharus guttatus","Hermit Thrush","Catharus guttatus","Turdidae","Thrushes","PASSERIFORMES"
"Catharus ustulatus","Swainson's Thrush","Catharus ustulatus","Turdidae","Thrushes","PASSERIFORMES"
"Colaptes auratus","Northern Flicker","Colaptes auratus","Picidae","Woodpeckers","PICIFORMES"
"Dolichonyx oryzivorus","Bobolink","Dolichonyx oryzivorus","Icteridae","New World blackbirds","PASSERIFORMES"
"Dryobates nuttallii","Nuttall's Woodpecker","Picoides nuttallii","Picidae","Woodpeckers","PICIFORMES"
"Dryobates pubescens","Downy Woodpecker","Picoides pubescens","Picidae","Woodpeckers","PICIFORMES"
"Dryobates villosus","Hairy Woodpecker","Picoides villosus","Picidae","Woodpeckers","PICIFORMES"
"Dumetella carolinensis","Grey Catbird","Dumetella carolinensis","Mimidae","Mockingbirds and thrashers","PASSERIFORMES"
"Empidonax minimus","Least Flycatcher","Empidonax minimus","Tyrannidae","Tyrant-flycatchers","PASSERIFORMES"
"Empidonax traillii","Willow Flycatcher","Empidonax traillii","Tyrannidae","Tyrant-flycatchers","PASSERIFORMES"
"Empidonax virescens","Acadian Flycatcher","Empidonax virescens","Tyrannidae","Tyrant-flycatchers","PASSERIFORMES"
"Geothlypis formosa","Kentucky Warbler","Oporornis formosus","Parulidae","New World warblers","PASSERIFORMES"
"Geothlypis philadelphia","Mourning Warbler","Oporornis philadelphia","Parulidae","New World warblers","PASSERIFORMES"
"Geothlypis tolmiei","MacGillivray's Warbler","Oporornis tolmiei","Parulidae","New World warblers","PASSERIFORMES"
"Geothlypis trichas","Common Yellowthroat","Geothlypis trichas","Parulidae","New World warblers","PASSERIFORMES"
